Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2024-07-29,Sleep,2023,https://boxd.it/6YOzED,3.5,,,2024-07-28
2024-08-02,Srikanth,2024,https://boxd.it/70ucSF,5,,,2024-08-01
2024-08-05,Amélie,2001,https://boxd.it/71Tbvp,4.5,,,2024-08-05
2024-08-13,C/o Kancharapalem,2018,https://boxd.it/75j8Lj,5,,,2024-08-12
2024-08-15,Haseen Dillruba,2021,https://boxd.it/76dSWf,4,,,2024-08-14
2024-08-16,Phir Aayi Hasseen Dillruba,2024,https://boxd.it/76T9i9,3.5,,,2024-08-16
2024-08-17,Twisters,2024,https://boxd.it/775ARz,4,,,2024-08-16
2024-08-19,Dil Se..,1998,https://boxd.it/78wAwp,4.5,,,2024-08-19
2024-08-21,Pekamedalu,2024,https://boxd.it/793fJt,4,,,2024-08-20
2024-08-24,Kalki 2898-AD,2024,https://boxd.it/7aiYxh,4,,,2024-08-23
2024-08-24,Andala Rakshasi,2012,https://boxd.it/7aiYT3,4,,,2024-08-23
2024-08-25,Raayan,2024,https://boxd.it/7bbCub,4,,,2024-08-25
2024-08-25,1: Nenokkadine,2014,https://boxd.it/7bfTIH,4.5,,,2024-08-25
2024-08-26,Martyrs,2008,https://boxd.it/7bi9lN,5,,,2024-08-25
2024-08-26,Ae Dil Hai Mushkil,2016,https://boxd.it/7bMqql,4.5,,,2024-08-26
2024-08-29,Veeranjaneyulu Vihara Yatra,2024,https://boxd.it/7cK7KV,4,,,2024-08-28
2024-09-01,"Batman: The Dark Knight Returns, Part 1",2012,https://boxd.it/7e1M3h,4,,,2024-08-31
2024-09-01,"Batman: The Dark Knight Returns, Part 2",2013,https://boxd.it/7e1MBj,4.5,,,2024-08-31
2024-09-01,Braveheart,1995,https://boxd.it/7eqFJP,5,,,2024-09-01
2024-09-07,Maharaj,2024,https://boxd.it/7h3mOx,4.5,,,2024-09-07
